"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
2106,2106,602,Independence Day,1996-06-25,"['Action', 'Adventure', 'Science Fiction']",English,6.9,8685,31.051,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, th...",75000000,"['20th Century Fox', 'Centropolis Entertainment']",817400891,145,Don't make plans for August.,742400891
2107,2107,9312,Mortal Kombat,1995-08-18,"['Action', 'Fantasy']",English,5.8,1994,31.038,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the mu...",18000000,"['New Line Cinema', 'Threshold Entertainment']",122195920,101,Nothing In This World Has Prepared You For This.,104195920
2108,2108,26022,My Name Is Khan,2010-02-10,"['Drama', 'Romance']",Hindi,8.1,1155,31.036,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LA...",12000000,"['Dharma Productions', 'Fox Searchlight Pictures', 'Red Chillies Entertainment', 'Star Studios', 'Imagenation Abu Dhabi FZ']",42345360,165,"An Ordinary Man, An Extraordinary Journey ... FOR LOVE.",30345360
2112,2112,270303,It Follows,2014-09-24,"['Horror', 'Mystery']",English,6.6,5758,30.988,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercou...",2000000,"['Two Flints', 'Northern Lights Films', 'Animal Kingdom']",14674076,101,"It doesn’t think, it doesn’t feel, it doesn’t give up.",12674076
2114,2114,14,American Beauty,1999-09-15,['Drama'],English,8.0,11027,30.977,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",15000000,"['Jinks/Cohen Company', 'DreamWorks Pictures']",356296601,122,Look closer.,341296601
2117,2117,300668,Annihilation,2018-02-22,"['Science Fiction', 'Horror']",English,6.4,7825,30.947,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",40000000,"['DNA Films', 'Paramount', 'Scott Rudin Productions', 'Skydance']",43070915,115,Fear what's inside.,3070915
2118,2118,10501,The Road to El Dorado,2000-03-31,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",English,7.2,3418,30.938,"After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the m...",95000000,"['DreamWorks Animation', 'DreamWorks Pictures']",76432727,89,They came for the gold. They stayed for the adventure.,-18567273
2119,2119,6977,No Country for Old Men,2007-06-13,"['Crime', 'Drama', 'Thriller']",English,7.9,10691,30.935,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his tra...",25000000,"['Miramax', 'Scott Rudin Productions', 'Mike Zoss Productions', 'Paramount Vantage']",171627166,122,There are no clean getaways.,146627166
2122,2122,121734,"Tad, the Lost Explorer",2012-08-10,"['Animation', 'Comedy', 'Adventure', 'Family']",Spanish,6.2,503,30.898,"Tad is a celebrity archaeologist and adventurer just like his hero Max Mordon... in his dreams! In reality, Tad is a Chicago construction worker. One day, however, he is mistaken for a real profes...",10500000,"['StudioCanal', 'Lightbox Entertainment', 'Ikiru Films', 'Telefónica Studios', 'Telecinco Cinema', 'El Toro Pictures', 'Canal+', 'ICAA']",23000000,90,"No whip, no gun... All fun!",12500000
2126,2126,157544,The Vatican Tapes,2015-07-23,"['Thriller', 'Horror']",English,5.3,681,30.886,"In a highly secured vault deep within the walls of Vatican City, the Catholic Church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained r...",13000000,"['Lionsgate', 'Lakeshore Entertainment', 'H2F Entertainment', 'Pantelion Films']",1784763,91,"For 2,000 years the Vatican has recorded evidence of evil. May God have mercy on their souls.",-11215237
2127,2127,72784,The Loft,2014-10-14,['Thriller'],English,6.4,1321,30.873,"For five men, the opportunity to share a penthouse in the city -- in which to carry on extramarital affairs -- is a dream come true, until the dead body of an unknown woman turns up. Realizing tha...",14000000,"['Open Road Films', 'Dark Castle Entertainment', 'Anonymous Content']",10076790,108,The right place to do wrong.,-3923210
2131,2131,351694,Monkey King: Hero Is Back,2015-07-10,"['Fantasy', 'Animation', 'Comedy']",Chinese,6.9,230,30.854,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters att...",10000000,"['Hengdian Chinese Film Production Co.', 'Beijing Weiyingshidai Culture & Media', 'October Media', 'October Animation Studio', 'S&C Pictures', 'Shandong Film & TV Group']",150000000,89,NaN,140000000
2132,2132,324668,Jason Bourne,2016-07-27,"['Action', 'Thriller', 'Mystery']",English,6.3,5254,30.832,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,120000000,"['The Kennedy/Marshall Company', 'Captivate Entertainment', 'Pearl Street Films', 'Double Negative', 'Perfect World Pictures']",415484914,123,You know his name,295484914
2135,2135,9815,Goal! II: Living the Dream,2007-02-09,['Drama'],English,6.0,592,30.808,"Tempted away from Newcastle United to join Real Madrid, rising star Santiago Munez finds this latest change of fortune the greatest challenge yet - personally as well as professionally. He is reun...",10000000,['Impala'],7864905,115,NaN,-2135095
2136,2136,7512,Idiocracy,2006-09-01,"['Comedy', 'Science Fiction', 'Adventure']",English,6.3,2440,30.808,"To test its top-secret Human Hibernation Project, the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of f...",30000000,"['20th Century Fox', 'Ternion Pictures']",495303,84,"In the future, intelligence is extinct.",-29504697
2137,2137,12222,Horton Hears a Who!,2008-03-03,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",English,6.5,2950,30.789,"The classic and beloved story from Dr. Seuss is now a CG animated film from 20th Century Fox Animation, the makers of the Ice Age films. An imaginative elephant named Horton (Jim Carrey) hears a f...",85000000,"['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox', 'Dr. Seuss Enterprises']",298572799,86,A person's a person no matter how small!,213572799
2139,2139,214,Saw III,2006-10-27,"['Horror', 'Thriller', 'Crime']",English,6.4,3890,30.771,"Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture a...",10000000,"['Twisted Pictures', 'Evolution Entertainment', 'Lionsgate']",164874275,108,Suffering? You Haven't Seen Anything Yet...,154874275
2141,2141,1246,Rocky Balboa,2006-12-20,['Drama'],English,6.8,3076,30.760,"His Wife is dead and his Son hates him but this old man still has fight in him!  When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder M...",24000000,"['Rogue Marble', 'Columbia Pictures', 'Revolution Studios', 'Metro-Goldwyn-Mayer', 'Winkler Films']",155929020,101,It ain't over 'til it's over.,131929020
2142,2142,123553,The Mortal Instruments: City of Bones,2013-08-21,"['Fantasy', 'Action', 'Mystery']",English,6.4,4227,30.745,"In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother...",60000000,"['Screen Gems', 'Unique Features', 'Mister Smith Entertainment', 'Don Carmody Productions', 'Constantin Film']",95396573,130,You have been chosen,35396573
2147,2147,9804,Waterworld,1995-07-28,"['Adventure', 'Action', 'Science Fiction']",English,6.2,3245,30.679,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her ...",175000000,"['Gordon Company', 'Davis Entertainment', 'Universal Pictures', 'Licht/Mueller Film Corporation']",264218220,135,Beyond the horizon lies the secret to a new beginning.,89218220
2149,2149,23631,Machete,2010-09-01,"['Action', 'Comedy', 'Thriller']",English,6.3,2966,30.662,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",20000000,"['Overnight Films', 'Troublemaker Studios']",44093316,105,He was given an offer he couldn't refuse...,24093316
2152,2152,10229,A Walk to Remember,2002-01-25,"['Drama', 'Romance']",English,7.7,3721,30.660,"When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list...",11800000,"['Gaylord Films', 'Pandora Pictures', 'Di Novi Pictures', 'Warner Bros. Pictures']",47494916,101,It all comes down to who's by your side.,35694916
2153,2153,393345,Cult of Chucky,2017-10-12,"['Horror', 'Thriller']",English,5.8,1108,30.644,"Confined to an asylum for the criminally insane, Nica Pierce is convinced that she, not Chucky, murdered her entire family. But when the psychiatrist introduces a new therapeutic ""Good Guy"" doll w...",6500000,['Universal 1440 Entertainment'],2200000,91,You may feel a little prick,-4300000
2155,2155,256040,Bāhubali: The Beginning,2015-07-10,"['Action', 'Adventure', 'Drama', 'Fantasy']",Telugu,7.5,664,30.632,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior pri...",25130430,['Arka Media Works'],90747520,158,NaN,65617090
2156,2156,9792,The Hills Have Eyes,2006-03-10,"['Horror', 'Thriller']",English,6.4,2612,30.607,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zo...",15000000,"['Fox Searchlight Pictures', 'Craven-Maddalena Films', 'Major Studio Partners', 'Dune Entertainment']",69623713,107,The lucky ones die first.,54623713
2161,2161,315837,Ghost in the Shell,2017-03-29,"['Science Fiction', 'Drama', 'Action']",English,6.1,7461,30.569,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",110000000,"['Weying Galaxy Entertainment', 'Paramount', 'Shanghai Film Group', 'Reliance Entertainment', 'Grosvenor Park Productions', 'Steven Paul Production', 'Huahua Media', 'Seaside Entertainment', 'Drea...",169801921,107,There's nothing sadder than a puppet without a ghost.,59801921
2164,2164,8456,Never Back Down,2008-03-04,"['Drama', 'Action']",English,6.8,2106,30.523,"Jake, full of anger after his father's death, is just starting to find a place for himself at his new Orlando high school - until Ryan, head of an underground MMA fight club, picks Jake out as a p...",20000000,"['Summit Entertainment', 'Mandalay Pictures', 'Baumgarten Management and Productions (BMP)']",41627431,115,Win or lose... Everyone has their fight.,21627431
2167,2167,487297,What Men Want,2019-02-08,"['Comedy', 'Romance']",English,6.2,1211,30.512,"Magically able to hear what men are thinking, a sports agent uses her newfound ability to turn the tables on her overbearing male colleagues.",20000000,"['Will Packer Productions', 'BET Films', 'Paramount Players']",69766483,117,She can hear men's thoughts. Let the games begin.,49766483
2174,2174,258489,The Legend of Tarzan,2016-06-29,"['Fantasy', 'Action', 'Adventure']",English,5.9,5833,30.474,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",180000000,"['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Beagle Pug Films', 'Jerry Weintraub Productions', 'RatPac Entertainment', 'Riche Productions', 'Warner Bros. Pictures']",356743061,109,Human. Nature.,176743061
2175,2175,522931,Hitman's Wife's Bodyguard,2021-06-14,"['Action', 'Comedy', 'Crime', 'Thriller']",English,6.7,1878,30.465,"The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into act...",70000000,"['Nu Boyana Film Studios', 'Summit Entertainment', 'Lionsgate', 'Millennium Media', 'Davis Films']",70060492,117,Killer threesome.,60492
2178,2178,9737,Bad Boys,1995-04-07,"['Action', 'Comedy', 'Crime', 'Thriller']",English,6.8,5626,30.438,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from und...",19000000,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",141407024,119,Whatcha gonna do?,122407024
2179,2179,9495,The Crow,1994-05-11,"['Fantasy', 'Action', 'Thriller']",English,7.5,3453,30.404,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven—watched over by a hypnotic crow—returns from the grave to exact ...",23000000,"['Dimension Films', 'Miramax', 'Crowvision Inc.', 'Entertainment Media Investment Corporation', 'Jeff Most Productions', 'Pressman Film', 'Summit Entertainment']",50694672,102,Believe in angels.,27694672
